frame,latency_ms,resolution
0,11.840105056762695,1280x720
1,0.0,1280x720
2,3.0562877655029297,1280x720
3,10.982036590576172,1280x720
4,12.534379959106445,1280x720
5,0.0,1280x720
6,5.604743957519531,1280x720
7,5.761623382568359,1280x720
8,1.6171932220458984,1280x720
9,0.0,1280x720
10,4.000663757324219,1280x720
11,3.5123825073242188,1280x720
12,4.52113151550293,1280x720
13,4.00996208190918,1280x720
14,5.311489105224609,1280x720
15,2.446889877319336,1280x720
16,14.879703521728516,1280x720
17,0.0,1280x720
18,1.3256072998046875,1280x720
19,0.0,1280x720
20,3.000497817993164,1280x720
21,3.572702407836914,1280x720
22,3.5161972045898438,1280x720
23,5.306005477905273,1280x720
24,0.0,1280x720
25,3.36456298828125,1280x720
26,13.635873794555664,1280x720
27,3.9992332458496094,1280x720
28,4.964351654052734,1280x720
29,2.765178680419922,1280x720
30,11.326789855957031,1280x720
31,7.827997207641602,1280x720
32,0.0,1280x720
33,13.140439987182617,1280x720
34,0.0,1280x720
35,3.7326812744140625,1280x720
36,9.21487808227539,1280x720
37,2.001523971557617,1280x720
38,3.3402442932128906,1280x720
39,0.0,1280x720
40,1.8002986907958984,1280x720
41,13.06605339050293,1280x720
42,4.049777984619141,1280x720
43,9.002447128295898,1280x720
44,4.581212997436523,1280x720
45,5.0067901611328125,1280x720
46,11.681795120239258,1280x720
47,4.019260406494141,1280x720
48,11.440038681030273,1280x720
49,10.532855987548828,1280x720
